"label","key_value","condition_value","sort_order"
"Lupinus nanus - Sky lupine","LUPINANU","","444"
"Lupinus pusillus","LUPIPUSI","","445"
"Lupinus succulentus - Succulent lupine","LUPISUCC","","446"
"Lycium berlandieri","LYCIBERL","","447"
"Lycium pallidum","LYCIPALL","","448"
"Lycium torreyi","LYCITORR","","449"
"Lycurus phleoides","LYCUPHLE","","450"
"Lycurus setosus","LYCUSETO","","451"
"Lysimachia arvensis - Scarlet pimpernel","LYSIARVE","","452"
"Machaeranthera tanacetifolia","MACHTANA","","453"
"Maclura pomifera","MACLPOMI","","454"
"Malacothrix fendleri","MALAFEND","","455"
"Malva parviflora - Cheeseweed mallow","MALVPARV","","456"
"Malvella lepidota","MALVLEPI","","457"
"Malvella sagittaefolia","MALVSAGI","","458"
"Mammillaria grahamii","MAMMGRAH","","459"
"Mammillaria heyderi","MAMMHEYD","","460"
"Mammillaria wrightii","MAMMWRIG","","461"
"Marah fabacea","MARAFABA","","462"
"Marrubium vulgare - White horehound","MARRVULG","","463"
"Maurandya antirrhiniflora","MAURANTI","","464"
"Maurandya wislizenii","MAURWISL","","465"
"Medicago polymorpha - bur clover","MEDIPOLY","","466"
"Melampodium leucanthum","MELALEUC","","467"
"Melica imperfecta","MELIIMPE","","468"
"Menodora scabra","MENOSCAB","","469"
"Mentzelia albicaulis","MENTALBI","","470"
"Mentzelia pumila","MENTPUMI","","471"
"Micropus californicus","MICRCALI","","472"
"Microseris douglasii","MICRDOUG","","473"
"Microsteris gracilis - Slender phlox","MICRGRAC","","474"
"Mimosa aculeaticarpa","MIMOACUL","","475"
"Mimosa quadrivalvis","MIMOQUAD","","476"
"Mimulus aurantiacus - Sticky monkeyflower","MIMUAURA","","477"
"Mirabilis linearis","MIRALINE","","478"
"Mirabilis multiflora","MIRAMULT","","479"
"Mollugo cerviana","MOLLCERV","","480"
"Mollugo verticillata","MOLLVERT","","481"
"Morus microphylla","MORUMICR","","482"
"Muhlenbergia arenacea","MUHLARENA","","483"
"Muhlenbergia arenicola","MUHLARENI","","484"
"Muhlenbergia asperifolia","MUHLASPE","","485"
